,STATION,NAME,DATE,Precipitation (inches),Snowfall (inches),Snow Depth (inches),Avg Hourly Temp (Fahrenheit),Highest Hourly Temp (Fahrenheit),Lowest Hourly Temp (Fahrenheit),Temperature at Observation (Fahrenheit),Year,Month,Day,Month & Day,Year & Month
37,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-07,0.0,0.0,0.0,,60.0,30.0,,1934,2,7,02-07,1934-02
38,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-08,0.0,0.0,0.0,,35.0,26.0,,1934,2,8,02-08,1934-02
39,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-09,0.0,0.0,0.0,,33.0,18.0,,1934,2,9,02-09,1934-02
40,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-10,0.0,0.0,0.0,,37.0,18.0,,1934,2,10,02-10,1934-02
41,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-11,0.09,0.4,0.0,,52.0,29.0,,1934,2,11,02-11,1934-02
42,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-12,0.0,0.0,0.0,,53.0,35.0,,1934,2,12,02-12,1934-02
43,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-13,0.0,0.0,0.0,,66.0,29.0,,1934,2,13,02-13,1934-02
44,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-14,0.0,0.0,0.0,,74.0,37.0,,1934,2,14,02-14,1934-02
45,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-15,0.0,0.0,0.0,,53.0,33.0,,1934,2,15,02-15,1934-02
46,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-16,0.0,0.0,0.0,,60.0,30.0,,1934,2,16,02-16,1934-02
47,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-17,0.0,0.0,0.0,,67.0,29.0,,1934,2,17,02-17,1934-02
48,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-18,0.11,0.3,0.0,,56.0,18.0,,1934,2,18,02-18,1934-02
49,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-19,0.0,0.0,0.0,,28.0,11.0,,1934,2,19,02-19,1934-02
50,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-20,0.0,0.0,0.0,,44.0,21.0,,1934,2,20,02-20,1934-02
51,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-21,0.03,0.1,0.0,,43.0,23.0,,1934,2,21,02-21,1934-02
52,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-22,0.0,0.0,0.0,,32.0,16.0,,1934,2,22,02-22,1934-02
53,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-23,0.0,0.0,0.0,,31.0,22.0,,1934,2,23,02-23,1934-02
54,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-24,0.46,3.8,4.0,,23.0,12.0,,1934,2,24,02-24,1934-02
55,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-25,0.12,1.0,5.0,,14.0,9.0,,1934,2,25,02-25,1934-02
56,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-26,0.0,0.0,4.0,,11.0,-8.0,,1934,2,26,02-26,1934-02
57,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-27,0.0,0.0,4.0,,26.0,-13.0,,1934,2,27,02-27,1934-02
58,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-02-28,0.0,0.0,3.0,,34.0,24.0,,1934,2,28,02-28,1934-02
59,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-01,0.21,0.0,2.0,,46.0,31.0,,1934,3,1,03-01,1934-03
60,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-02,0.09,0.0,0.0,,56.0,35.0,,1934,3,2,03-02,1934-03
61,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-03,0.0,0.0,0.0,,53.0,42.0,,1934,3,3,03-03,1934-03
62,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-04,0.0,0.0,0.0,,63.0,35.0,,1934,3,4,03-04,1934-03
63,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-05,0.0,0.0,0.0,,48.0,37.0,,1934,3,5,03-05,1934-03
64,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-06,0.0,0.0,0.0,,46.0,33.0,,1934,3,6,03-06,1934-03
65,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-07,0.11,0.0,0.0,,33.0,28.0,,1934,3,7,03-07,1934-03
66,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-08,0.0,0.0,0.0,,45.0,21.0,,1934,3,8,03-08,1934-03
67,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-09,0.0,0.0,0.0,,39.0,17.0,,1934,3,9,03-09,1934-03
68,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-10,0.0,0.0,0.0,,34.0,14.0,,1934,3,10,03-10,1934-03
69,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-11,0.0,0.0,0.0,,47.0,23.0,,1934,3,11,03-11,1934-03
70,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-12,0.0,0.0,0.0,,73.0,37.0,,1934,3,12,03-12,1934-03
71,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-13,0.0,0.0,0.0,,68.0,37.0,,1934,3,13,03-13,1934-03
72,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-14,0.0,0.0,0.0,,51.0,24.0,,1934,3,14,03-14,1934-03
73,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-15,0.0,0.0,0.0,,65.0,39.0,,1934,3,15,03-15,1934-03
74,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-16,0.0,0.0,0.0,,77.0,34.0,,1934,3,16,03-16,1934-03
75,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-17,0.05,0.5,0.0,,69.0,24.0,,1934,3,17,03-17,1934-03
76,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-18,0.0,0.0,0.0,,39.0,14.0,,1934,3,18,03-18,1934-03
